232.658 xcp_udp:../genio/genio/file.cpp(35): open /fl/Lr0_5501 No such file or directory
232.658 xcp_udp:../xcp/e7.cpp(148): ERR errno=2 
232.709 xcp_udp:../stream/execute.cpp(432): log_erase 0
551.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
552.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
553.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
554.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
555.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
556.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
557.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
558.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
559.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
560.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
561.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
562.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
563.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
564.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
565.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
566.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
567.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
568.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
569.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
570.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
571.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
572.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
573.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
574.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
575.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
576.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
577.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
578.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
579.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
580.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
581.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
582.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
583.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
584.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
585.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
586.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
587.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
588.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
589.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
590.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
592.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
593.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
594.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
595.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
596.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
597.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
598.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
599.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
600.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
601.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
602.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
603.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
604.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
605.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
606.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
607.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
608.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
609.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
610.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
611.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
612.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
613.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
614.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
615.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
616.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
617.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
618.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
619.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
620.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
621.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
622.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
623.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
624.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
625.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
626.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
627.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
628.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
629.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
630.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
631.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
632.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
633.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
634.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
635.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
636.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
637.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
638.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
639.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
640.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
641.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
642.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
643.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
644.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
645.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
646.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
647.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
648.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
649.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
650.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
651.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
652.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
653.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
654.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
655.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
656.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
657.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
658.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
659.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
660.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
661.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
662.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
663.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
664.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
665.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
666.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
667.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
668.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
669.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
670.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
671.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
672.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
673.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
674.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
675.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
676.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
677.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
678.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
680.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
681.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
682.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
683.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
684.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
685.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
686.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
687.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
688.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
689.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
690.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
691.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
692.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
693.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
694.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
695.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
696.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
697.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
698.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
699.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
700.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
701.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
702.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
703.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
704.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
705.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
706.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
707.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
708.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
709.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
710.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
711.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
712.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
713.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
714.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
715.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
716.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
717.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
718.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
719.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
720.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
721.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
722.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
723.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
724.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
725.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
726.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
727.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
728.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
729.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
730.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
731.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
732.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
733.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
734.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
735.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
736.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
737.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
738.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
739.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
740.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
741.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
742.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
743.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
744.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
745.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
746.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
747.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
748.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
749.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
750.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
751.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
752.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
753.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
754.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
755.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
756.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
757.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
758.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
759.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
761.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
762.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
763.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
764.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
765.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
766.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
767.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
768.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
769.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
770.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
771.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
772.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
773.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
774.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
775.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
776.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
777.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
778.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
779.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
780.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
781.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
782.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
783.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
784.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
785.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
786.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
787.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
788.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
789.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
790.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
791.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
792.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
793.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
794.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
795.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
796.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
797.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
798.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
799.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
800.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
801.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
802.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
803.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
804.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
805.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
806.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
807.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
808.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
809.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
810.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
811.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
812.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
813.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
814.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
815.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
816.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
817.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
818.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
819.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
820.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
821.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
822.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
823.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
824.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
825.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
826.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
827.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
828.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
829.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
830.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
831.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
832.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
833.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
834.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
835.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
836.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
837.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
838.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
839.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
840.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
841.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
842.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
843.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
844.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
845.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
846.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
847.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
848.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
850.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
851.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
852.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
853.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
854.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
855.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
856.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
857.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
858.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
859.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
860.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
861.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
862.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
863.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
864.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
865.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
866.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
867.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
868.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
869.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
870.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
871.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
872.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
873.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
874.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
875.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
876.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
877.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
